2016-11-02 16:05:38 DEBUG  [base.SetUpProAndBrowser] [main] 56: property is loaded!!
2016-11-02 16:05:43 DEBUG  [org.apache.http.client.protocol.RequestAddCookies] [Forwarding newSession on session null to remote] 122: CookieSpec selected: best-match
2016-11-02 16:05:43 DEBUG  [org.apache.http.client.protocol.RequestAuthCache] [Forwarding newSession on session null to remote] 75: Auth cache not set in the context
2016-11-02 16:05:43 DEBUG  [org.apache.http.impl.conn.PoolingHttpClientConnectionManager] [Forwarding newSession on session null to remote] 219: Connection request: [route: {}->http://localhost:28799][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2016-11-02 16:05:43 DEBUG  [org.apache.http.impl.conn.PoolingHttpClientConnectionManager] [Forwarding newSession on session null to remote] 250: Connection leased: [id: 0][route: {}->http://localhost:28799][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
2016-11-02 16:05:43 DEBUG  [org.apache.http.impl.execchain.MainClientExec] [Forwarding newSession on session null to remote] 217: Opening connection {}->http://localhost:28799
2016-11-02 16:05:43 DEBUG  [org.apache.http.impl.conn.HttpClientConnectionOperator] [Forwarding newSession on session null to remote] 122: Connecting to localhost/127.0.0.1:28799
2016-11-02 16:05:43 DEBUG  [org.apache.http.impl.conn.HttpClientConnectionOperator] [Forwarding newSession on session null to remote] 129: Connection established 127.0.0.1:6419<->127.0.0.1:28799
2016-11-02 16:05:43 DEBUG  [org.apache.http.impl.execchain.MainClientExec] [Forwarding newSession on session null to remote] 238: Executing request POST /session HTTP/1.1
2016-11-02 16:05:43 DEBUG  [org.apache.http.impl.execchain.MainClientExec] [Forwarding newSession on session null to remote] 243: Target auth state: UNCHALLENGED
2016-11-02 16:05:43 DEBUG  [org.apache.http.impl.execchain.MainClientExec] [Forwarding newSession on session null to remote] 249: Proxy auth state: UNCHALLENGED
2016-11-02 16:05:43 DEBUG  [org.apache.http.headers] [Forwarding newSession on session null to remote] 124: http-outgoing-0 >> POST /session HTTP/1.1
2016-11-02 16:05:43 DEBUG  [org.apache.http.headers] [Forwarding newSession on session null to remote] 127: http-outgoing-0 >> Content-Type: application/json; charset=utf-8
2016-11-02 16:05:43 DEBUG  [org.apache.http.headers] [Forwarding newSession on session null to remote] 127: http-outgoing-0 >> Content-Length: 122
2016-11-02 16:05:43 DEBUG  [org.apache.http.headers] [Forwarding newSession on session null to remote] 127: http-outgoing-0 >> Host: localhost:28799
2016-11-02 16:05:43 DEBUG  [org.apache.http.headers] [Forwarding newSession on session null to remote] 127: http-outgoing-0 >> Connection: Keep-Alive
2016-11-02 16:05:43 DEBUG  [org.apache.http.headers] [Forwarding newSession on session null to remote] 127: http-outgoing-0 >> User-Agent: Apache-HttpClient/4.3.6 (java 1.5)
2016-11-02 16:05:43 DEBUG  [org.apache.http.headers] [Forwarding newSession on session null to remote] 127: http-outgoing-0 >> Accept-Encoding: gzip,deflate
2016-11-02 16:05:43 DEBUG  [org.apache.http.wire] [Forwarding newSession on session null to remote] 72: http-outgoing-0 >> "POST /session HTTP/1.1[\r][\n]"
2016-11-02 16:05:43 DEBUG  [org.apache.http.wire] [Forwarding newSession on session null to remote] 72: http-outgoing-0 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
2016-11-02 16:05:43 DEBUG  [org.apache.http.wire] [Forwarding newSession on session null to remote] 72: http-outgoing-0 >> "Content-Length: 122[\r][\n]"
2016-11-02 16:05:43 DEBUG  [org.apache.http.wire] [Forwarding newSession on session null to remote] 72: http-outgoing-0 >> "Host: localhost:28799[\r][\n]"
2016-11-02 16:05:43 DEBUG  [org.apache.http.wire] [Forwarding newSession on session null to remote] 72: http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]"
2016-11-02 16:05:43 DEBUG  [org.apache.http.wire] [Forwarding newSession on session null to remote] 72: http-outgoing-0 >> "User-Agent: Apache-HttpClient/4.3.6 (java 1.5)[\r][\n]"
2016-11-02 16:05:43 DEBUG  [org.apache.http.wire] [Forwarding newSession on session null to remote] 72: http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2016-11-02 16:05:43 DEBUG  [org.apache.http.wire] [Forwarding newSession on session null to remote] 72: http-outgoing-0 >> "[\r][\n]"
2016-11-02 16:05:43 DEBUG  [org.apache.http.wire] [Forwarding newSession on session null to remote] 86: http-outgoing-0 >> "{"desiredCapabilities":{"platform":"ANY","browserName":"chrome","chromeOptions":{"args":[],"extensions":[]},"version":""}}"
2016-11-02 16:05:46 DEBUG  [org.apache.http.wire] [Forwarding newSession on session null to remote] 72: http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
2016-11-02 16:05:46 DEBUG  [org.apache.http.wire] [Forwarding newSession on session null to remote] 72: http-outgoing-0 << "Content-Length:612[\r][\n]"
2016-11-02 16:05:46 DEBUG  [org.apache.http.wire] [Forwarding newSession on session null to remote] 72: http-outgoing-0 << "Content-Type:application/json; charset=utf-8[\r][\n]"
2016-11-02 16:05:46 DEBUG  [org.apache.http.wire] [Forwarding newSession on session null to remote] 72: http-outgoing-0 << "Connection:close[\r][\n]"
